,adress,coord,latitudes,longitudes
338,"Los Angeles, Los Angeles County, California, United States of America","(34.0536909, -118.2427666)",34.0536909,-118.2427666
341,"Louisville, Jefferson County, Kentucky, United States of America","(38.2542376, -85.759407)",38.2542376,-85.759407
344,"Lyon, Métropole de Lyon, Circonscription départementale du Rhône, Auvergne-Rhône-Alpes, France métropolitaine, France","(45.7578137, 4.8320114)",45.7578137,4.8320114
347,"Madison, Dane County, Wisconsin, United States of America","(43.074761, -89.3837613)",43.074761,-89.3837613
350,"Madrid, Área metropolitana de Madrid y Corredor del Henares, Comunidad de Madrid, 28001, España","(40.4167047, -3.7035825)",40.4167047,-3.7035825
353,"Manchester, Greater Manchester, North West England, England, United Kingdom","(53.4794892, -2.2451148)",53.4794892,-2.2451148
356,"Manila, NCR, First District, Metro Manila, Philippines","(14.5906216, 120.9799696)",14.5906216,120.9799696
359,"City of Melbourne, Victoria, Australia","(-37.8142176, 144.9631608)",-37.8142176,144.9631608
362,"Memphis, Shelby County, Tennessee, United States of America","(35.1490215, -90.0516285)",35.1490215,-90.0516285
368,"Miami, Miami-Dade County, Florida, United States of America","(25.7742658, -80.1936589)",25.7742658,-80.1936589
371,"Milano, Lombardia, Italia","(45.4668, 9.1905)",45.4668,9.1905
373,"Milwaukee, Milwaukee County, Wisconsin, United States of America","(43.0349931, -87.922497)",43.0349931,-87.922497
376,"Minneapolis, Hennepin County, Minnesota, United States of America","(44.9772995, -93.2654692)",44.9772995,-93.2654692
379,"Modesto, Stanislaus County, California, United States of America","(37.6390972, -120.9968782)",37.6390972,-120.9968782
382,"Monterey County, California, United States of America","(36.2231079, -121.3877428)",36.2231079,-121.3877428
385,"Montréal, Agglomération de Montréal, Montréal (06), Québec, Canada","(45.4972159, -73.6103642)",45.4972159,-73.6103642
388,"Москва, Центральный федеральный округ, Россия","(55.4792046, 37.3273304)",55.4792046,37.3273304
390,"Mumbai, Mumbai City, Maharashtra, India","(18.9387711, 72.8353355)",18.9387711,72.8353355
392,"München, Bayern, Deutschland","(48.1371079, 11.5753822)",48.1371079,11.5753822
394,"名古屋市, 愛知県, 日本 (Japan)","(35.1851045, 136.8998438)",35.1851045,136.8998438
397,"Nashville-Davidson, Davidson County, Tennessee, United States of America","(36.1622296, -86.7743531)",36.1622296,-86.7743531
400,"New Haven, Connecticut, United States of America","(41.3082138, -72.9250518)",41.3082138,-72.9250518
403,"New Orleans, Orleans Parish, Louisiana, United States of America","(29.9499323, -90.0701156)",29.9499323,-90.0701156
406,"New York, United States of America","(40.7127281, -74.0060152)",40.7127281,-74.0060152
409,"Oklahoma City, Oklahoma County, Oklahoma, United States of America","(35.4729886, -97.5170536)",35.4729886,-97.5170536
412,"Omaha, Douglas County, Nebraska, United States of America","(41.2587459, -95.9383758)",41.2587459,-95.9383758
415,"Orlando, Central Boulevard, Thornton Park, Orlando, Orange County, Florida, 32801, United States of America","(28.5421109, -81.3790304)",28.5421109,-81.3790304
418,"大阪府, 日本 (Japan)","(34.6198813, 135.490357)",34.6198813,135.490357
421,"Oslo, 0026, Norge","(59.9133301, 10.7389701)",59.9133301,10.7389701
424,"Ottawa, Eastern Ontario, Ontario, K1P 1J1, Canada","(45.421106, -75.690308)",45.421106,-75.690308
427,"Paris, Île-de-France, France métropolitaine, France","(48.8566969, 2.3514616)",48.8566969,2.3514616
430,"Perth, Western Australia, 6000, Australia","(-31.9527121, 115.8604796)",-31.9527121,115.8604796
433,"Philadelphia, Philadelphia County, Pennsylvania, United States of America","(39.9527237, -75.1635262)",39.9527237,-75.1635262
436,"Phoenix, Maricopa County, Arizona, United States of America","(33.4484367, -112.0741417)",33.4484367,-112.0741417
439,"Pittsburgh, Allegheny County, Pennsylvania, United States of America","(40.4416941, -79.9900861)",40.4416941,-79.9900861
442,"Portland, Multnomah County, Oregon, United States of America","(45.5202471, -122.6741949)",45.5202471,-122.6741949
445,"Praha, okres Hlavní město Praha, Hlavní město Praha, Praha, Česká republika","(50.0874654, 14.4212535)",50.0874654,14.4212535
446,"Providence, Rhode Island, United States of America","(41.8239891, -71.4128343)",41.8239891,-71.4128343
449,"Raleigh, Wake County, North Carolina, United States of America","(35.7803977, -78.6390989)",35.7803977,-78.6390989
452,"Richmond, Richmond City, Virginia, 23298, United States of America","(37.5385087, -77.43428)",37.5385087,-77.43428
455,"Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, Brasil","(-22.9110137, -43.2093727)",-22.9110137,-43.2093727
458,"الرياض, منطقة الرياض, 3285, Saudi Arabia / السعودية","(24.6319692, 46.7150648)",24.6319692,46.7150648
460,"Rochester, Monroe County, New York, United States of America","(43.157285, -77.615214)",43.157285,-77.615214
463,"Roma, Roma Capitale, Italia","(41.8933203, 12.4829321)",41.8933203,12.4829321
466,"Rotterdam, Zuid-Holland, Nederland","(51.9228958, 4.4631727)",51.9228958,4.4631727
469,"Sacramento, Sacramento County, California, United States of America","(38.5815719, -121.4943996)",38.5815719,-121.4943996
475,"Санкт-Петербург, Северо-Западный федеральный округ, 190000, Россия","(59.9606739, 30.1586551)",59.9606739,30.1586551
477,"Salt Lake City, Utah, United States of America","(40.7596198, -111.8867975)",40.7596198,-111.8867975
480,"San Antonio, Bexar County, Texas, United States of America","(29.4246002, -98.4951405)",29.4246002,-98.4951405
483,"San Diego, San Diego County, California, United States of America","(32.7174209, -117.1627714)",32.7174209,-117.1627714
486,"San Francisco Bay Area, San Francisco, San Francisco City and County, California, 94130, United States of America","(37.7884969, -122.3558473)",37.7884969,-122.3558473
489,"Santa Barbara, Santa Barbara County, California, United States of America","(34.4221319, -119.7026673)",34.4221319,-119.7026673
492,"Santiago, Cantón Paraíso, Provincia Cartago, 30202, Costa Rica","(9.8694792, -83.7980749)",9.8694792,-83.7980749
494,"São Paulo, Região Imediata de São Paulo, Região Metropolitana de São Paulo, Região Geográfica Intermediária de São Paulo, São Paulo, Região Sudeste, Brasil","(-23.5506507, -46.6333824)",-23.5506507,-46.6333824
497,"Seattle, King County, Washington, United States of America","(47.6038321, -122.3300624)",47.6038321,-122.3300624
500,"서울, 대한민국","(37.5666791, 126.9782914)",37.5666791,126.9782914
502,"Spokane, Spokane County, Washington, United States of America","(47.6579425, -117.4212265)",47.6579425,-117.4212265
505,"St. Louis, City of Saint Louis, Missouri, United States of America","(38.6268039, -90.1994097)",38.6268039,-90.1994097
508,"Stockholm, Stockholms kommun, Stockholms län, Svealand, 111 29, Sverige","(59.3251172, 18.0710935)",59.3251172,18.0710935
511,"Stuttgart, Baden-Württemberg, Deutschland","(48.7784485, 9.1800132)",48.7784485,9.1800132
514,"Sydney, New South Wales, Australia","(-33.8548157, 151.2164539)",-33.8548157,151.2164539
517,"Tacoma, Pierce County, Washington, United States of America","(47.2495798, -122.4398746)",47.2495798,-122.4398746
520,"臺中市, 西屯區, 臺中市, 40701, Taiwan","(24.163162, 120.6478282)",24.163162,120.6478282
523,"臺北市, 信義區, 臺北市, 11008, Taiwan","(25.0375198, 121.5636796)",25.0375198,121.5636796
526,"Tampa, Hillsborough County, Florida, United States of America","(27.9477595, -82.458444)",27.9477595,-82.458444
529,"תל אביב-יפו, מחוז תל אביב, ישראל","(32.0804808, 34.7805274)",32.0804808,34.7805274
531,"Tijuana, Municipio de Tijuana, Baja California, 22105, México","(32.5010188, -116.9646629)",32.5010188,-116.9646629
533,"東京都, 日本 (Japan)","(35.6828387, 139.7594549)",35.6828387,139.7594549
536,"Toledo, Castilla-La Mancha, España","(39.8560679, -4.0239568)",39.8560679,-4.0239568
539,"Toronto, Golden Horseshoe, Ontario, M5H 2N2, Canada","(43.6534817, -79.3839347)",43.6534817,-79.3839347
542,"Toulouse, Haute-Garonne, Occitanie, France métropolitaine, France","(43.6044622, 1.4442469)",43.6044622,1.4442469
